233.5;264.5
232.69;263.97
230.69;262.73
228.17;261.3
225.77;260.21
223.73;259.57
221.67;258.93
219.58;258.13
217.5;257.5
215.31;257.46
213.1;257.51
210.92;257.51
208.73;257.52
206.48;257.33
204.51;258.09
202.72;259.41
200.59;259.57
198.36;259.65
196.36;260.6
194.58;262.01
192.57;262.56
190.36;262.53
188.48;263.57
186.78;265.19
184.95;266.39
182.77;266.45
180.71;266.85
178.93;268.22
176.91;269.07
174.87;269.82
173.07;271.1
171.21;272.27
169.43;273.57
167.97;275.38
166.29;276.55
164.08;276.47
161.95;277.0
159.86;277.55
157.65;277.48
155.56;278.15
153.45;278.61
151.23;278.49
149.04;278.5
146.86;278.47
144.63;278.57
142.46;278.49
140.58;277.38
138.86;276.03
137.25;274.66
136.02;272.3
135.5;270.5
